T,PO,PO2,PMg,PMgO,PSi,PSiO,PSiO2,PFe,PFeO,PAl,PAlO,PAlO2,PAl2O,PAl2O2,PCa,PCaO,PNa,PNa2,PNaO,PNa2O,PNa+,PK,PK2,PKO,PK2O,PK+,PTi,PTiO,PTiO2
1400,1.13E-10,1.37E-08,9.09E-14,3.52E-16,3.30E-27,7.96E-14,1.77E-14,2.69E-12,3.20E-12,5.83E-24,9.41E-21,2.80E-26,1.62E-30,6.95E-29,1.81E-19,1.24E-20,5.50E-08,1.69E-16,1.99E-12,1.12E-17,6.53E-13,3.01E-12,1.13E-25,8.95E-17,2.01E-16,2.72E-14,6.60E-32,4.83E-23,2.17E-17
1450,3.74E-10,3.36E-08,4.83E-13,2.36E-15,6.18E-26,4.48E-13,8.77E-14,1.09E-11,1.16E-11,8.28E-23,9.60E-20,3.95E-25,4.72E-29,1.54E-27,1.25E-18,9.46E-20,1.35E-07,8.00E-16,7.09E-12,5.36E-17,2.26E-12,8.21E-12,7.17E-25,3.62E-16,4.08E-16,8.30E-14,1.54E-30,5.39E-22,1.22E-16
1500,1.15E-09,7.74E-08,2.29E-12,1.39E-14,9.56E-25,2.25E-12,3.92E-13,4.01E-11,3.88E-11,9.78E-22,8.33E-19,4.65E-24,1.09E-27,2.73E-26,7.60E-18,6.32E-19,3.12E-07,3.40E-15,2.33E-11,2.31E-16,7.18E-12,2.11E-11,4.05E-24,1.34E-15,7.97E-16,2.36E-13,2.89E-29,5.07E-21,6.03E-16
1550,3.27E-09,1.69E-07,9.80E-12,7.30E-14,1.24E-23,1.02E-11,1.59E-12,1.36E-10,1.20E-10,9.77E-21,6.24E-18,4.63E-23,2.01E-26,3.96E-25,4.11E-17,3.73E-18,6.83E-07,1.32E-14,7.06E-11,9.10E-16,2.12E-11,5.11E-11,2.07E-23,4.58E-15,1.51E-15,6.31E-13,4.43E-28,4.07E-20,2.66E-15
1600,8.75E-09,3.52E-07,3.82E-11,3.44E-13,1.37E-22,4.22E-11,5.93E-12,4.25E-10,3.45E-10,8.38E-20,4.08E-17,3.96E-22,3.04E-25,4.78E-24,2.00E-16,1.97E-17,1.43E-06,4.71E-14,2.00E-10,3.29E-15,5.86E-11,1.18E-10,9.66E-23,1.46E-14,2.77E-15,1.59E-12,5.66E-27,2.84E-19,1.06E-14
1650,2.20E-08,7.01E-07,1.37E-10,1.47E-12,1.32E-21,1.60E-10,2.05E-11,1.24E-09,9.31E-10,6.26E-19,2.37E-16,2.95E-21,3.84E-24,4.88E-23,8.82E-16,9.39E-17,2.85E-06,1.56E-13,5.34E-10,1.10E-14,1.52E-10,2.60E-10,4.14E-22,4.35E-14,4.95E-15,3.81E-12,6.14E-26,1.75E-18,3.83E-14
1700,5.26E-08,1.34E-06,4.53E-10,5.78E-12,1.11E-20,5.65E-10,6.58E-11,3.41E-09,2.37E-09,4.12E-18,1.23E-15,1.94E-20,4.12E-23,4.28E-22,3.56E-15,4.08E-16,5.47E-06,4.83E-13,1.35E-09,3.45E-14,3.74E-10,5.48E-10,1.64E-21,1.22E-13,8.62E-15,8.71E-12,5.74E-25,9.57E-18,1.27E-13
1750,1.19E-07,2.48E-06,1.40E-09,2.09E-11,8.27E-20,1.85E-09,1.98E-10,8.83E-09,5.70E-09,2.42E-17,5.76E-15,1.13E-19,3.80E-22,3.27E-21,1.33E-14,1.63E-15,1.01E-05,1.40E-12,3.22E-09,1.02E-13,8.72E-10,1.11E-09,6.08E-21,3.25E-13,1.47E-14,1.90E-11,4.69E-24,4.73E-17,3.94E-13
1800,2.59E-07,4.42E-06,4.03E-09,7.01E-11,5.53E-19,5.70E-09,5.63E-10,2.16E-08,1.31E-08,1.28E-16,2.46E-14,5.99E-19,3.05E-21,2.20E-20,4.57E-14,5.99E-15,1.81E-05,3.85E-12,7.35E-09,2.82E-13,1.94E-09,2.18E-09,2.11E-20,8.22E-13,2.44E-14,4.00E-11,3.39E-23,2.13E-16,1.14E-12
1850,5.40E-07,7.65E-06,1.10E-08,2.20E-10,3.34E-18,1.66E-08,1.52E-09,5.04E-08,2.86E-08,6.14E-16,9.67E-14,2.87E-18,2.17E-20,1.32E-19,1.47E-13,2.05E-14,3.15E-05,1.00E-11,1.61E-08,7.42E-13,4.15E-09,4.14E-09,6.86E-20,1.98E-12,3.99E-14,8.09E-11,2.19E-22,8.77E-16,3.09E-12
