T,PO,PO2,PMg,PMgO,PSi,PSiO,PSiO2,PFe,PFeO,PAl,PAlO,PAlO2,PAl2O,PAl2O2,PCa,PCaO,PNa,PNa2,PNaO,PNa2O,PNa+,PK,PK2,PKO,PK2O,PK+,PTi,PTiO,PTiO2
1900,1.08E-06,1.29E-05,2.82E-08,6.49E-10,1.84E-17,4.55E-08,3.88E-09,1.12E-07,5.99E-08,2.70E-15,3.52E-13,1.26E-17,1.38E-19,7.15E-19,4.45E-13,6.58E-14,5.32E-05,2.49E-11,3.37E-08,1.86E-12,8.51E-09,7.62E-09,2.11E-19,4.58E-12,6.37E-14,1.58E-10,1.28E-21,3.35E-15,7.94E-12
1950,2.09E-06,2.10E-05,6.91E-08,1.80E-09,9.29E-17,1.19E-07,9.48E-09,2.39E-07,1.21E-07,1.09E-14,1.19E-12,5.13E-17,7.87E-19,3.52E-18,1.27E-12,1.99E-13,8.75E-05,5.89E-11,6.82E-08,4.44E-12,1.68E-08,1.36E-08,6.17E-19,1.02E-11,9.98E-14,2.99E-10,6.82E-21,1.19E-14,1.94E-11
2000,3.91E-06,3.36E-05,1.61E-07,4.76E-09,4.34E-16,2.97E-07,2.22E-08,4.90E-07,2.34E-07,4.13E-14,3.79E-12,1.93E-16,4.10E-18,1.59E-17,3.43E-12,5.66E-13,1.40E-04,1.34E-10,1.33E-07,1.02E-11,3.22E-08,2.37E-08,1.72E-18,2.17E-11,1.53E-13,5.49E-10,3.33E-20,3.96E-14,4.52E-11
2050,7.09E-06,5.25E-05,3.60E-07,1.20E-08,1.88E-15,7.11E-07,4.99E-08,9.69E-07,4.40E-07,1.45E-13,1.13E-11,6.81E-16,1.96E-17,6.61E-17,8.81E-12,1.53E-12,2.20E-04,2.91E-10,2.51E-07,2.23E-11,5.95E-08,4.01E-08,4.55E-18,4.48E-11,2.32E-13,9.80E-10,1.51E-19,1.24E-13,1.01E-10
2100,1.25E-05,8.02E-05,7.74E-07,2.87E-08,7.61E-15,1.63E-06,1.08E-07,1.85E-06,8.02E-07,4.81E-13,3.22E-11,2.25E-15,8.63E-17,2.56E-16,2.16E-11,3.93E-12,3.38E-04,6.10E-10,4.61E-07,4.73E-11,1.07E-07,6.63E-08,1.15E-17,8.92E-11,3.44E-13,1.70E-09,6.32E-19,3.69E-13,2.16E-10
2150,2.15E-05,1.20E-04,1.60E-06,6.59E-08,2.89E-14,3.61E-06,2.26E-07,3.43E-06,1.42E-06,1.50E-12,8.67E-11,7.04E-15,3.54E-16,9.27E-16,5.07E-11,9.67E-12,5.07E-04,1.23E-09,8.20E-07,9.65E-11,1.87E-07,1.07E-07,2.80E-17,1.72E-10,5.02E-13,2.89E-09,2.48E-18,1.04E-12,4.48E-10
2200,3.60E-05,1.77E-04,3.20E-06,1.46E-07,1.03E-13,7.72E-06,4.58E-07,6.17E-06,2.44E-06,4.45E-12,2.23E-10,2.09E-14,1.35E-15,3.16E-15,1.14E-10,2.28E-11,7.47E-04,2.42E-09,1.42E-06,1.90E-10,3.19E-07,1.70E-07,6.55E-17,3.24E-10,7.21E-13,4.78E-09,9.13E-18,2.79E-12,8.97E-10
2250,5.91E-05,2.57E-04,6.18E-06,3.10E-07,3.49E-13,1.59E-05,9.01E-07,1.08E-05,4.10E-06,1.25E-11,5.49E-10,5.88E-14,4.87E-15,1.01E-14,2.48E-10,5.17E-11,1.08E-03,4.58E-09,2.40E-06,3.64E-10,5.31E-07,2.63E-07,1.47E-16,5.91E-10,1.02E-12,7.75E-09,3.16E-17,7.16E-12,1.74E-09
2300,9.50E-05,3.67E-04,1.16E-05,6.39E-07,1.12E-12,3.19E-05,1.72E-06,1.84E-05,6.73E-06,3.36E-11,1.30E-09,1.59E-13,1.65E-14,3.09E-14,5.20E-10,1.13E-10,1.54E-03,8.42E-09,3.97E-06,6.75E-10,8.63E-07,4.00E-07,3.20E-16,1.05E-09,1.42E-12,1.23E-08,1.04E-16,1.76E-11,3.28E-09
2350,1.50E-04,5.19E-04,2.10E-05,1.27E-06,3.40E-12,6.20E-05,3.20E-06,3.06E-05,1.08E-05,8.62E-11,2.96E-09,4.09E-13,5.27E-14,8.94E-14,1.05E-09,2.39E-10,2.15E-03,1.50E-08,6.42E-06,1.22E-09,1.37E-06,5.97E-07,6.70E-16,1.83E-09,1.95E-12,1.91E-08,3.22E-16,4.16E-11,6.01E-09
2400,2.32E-04,7.24E-04,3.72E-05,2.46E-06,9.82E-12,1.17E-04,5.81E-06,4.98E-05,1.70E-05,2.12E-10,6.49E-09,1.02E-12,1.60E-13,2.47E-13,2.07E-09,4.89E-10,2.96E-03,2.61E-08,1.02E-05,2.14E-09,2.14E-06,8.75E-07,1.36E-15,3.10E-09,2.64E-12,2.92E-08,9.52E-16,9.49E-11,1.08E-08
2450,3.54E-04,1.00E-03,6.41E-05,4.63E-06,2.71E-11,2.15E-04,1.03E-05,7.90E-05,2.63E-05,5.00E-10,1.38E-08,2.44E-12,4.61E-13,6.52E-13,3.94E-09,9.70E-10,4.02E-03,4.41E-08,1.58E-05,3.67E-09,3.27E-06,1.26E-06,2.67E-15,5.16E-09,3.52E-12,4.39E-08,2.68E-15,2.08E-10,1.88E-08
2500,5.33E-04,1.38E-03,1.08E-04,8.49E-06,7.15E-11,3.84E-04,1.78E-05,1.23E-04,3.98E-05,1.13E-09,2.83E-08,5.64E-12,1.26E-12,1.65E-12,7.27E-09,1.87E-09,5.37E-03,7.28E-08,2.42E-05,6.14E-09,4.92E-06,1.79E-06,5.08E-15,8.43E-09,4.65E-12,6.47E-08,7.19E-15,4.43E-10,3.21E-08
2550,7.92E-04,1.88E-03,1.76E-04,1.52E-05,1.80E-10,6.69E-04,3.03E-05,1.87E-04,5.94E-05,2.48E-09,5.65E-08,1.27E-11,3.31E-12,4.01E-12,1.31E-08,3.52E-09,7.08E-03,1.17E-07,3.65E-05,1.01E-08,7.26E-06,2.50E-06,9.40E-15,1.35E-08,6.07E-12,9.40E-08,1.85E-14,9.10E-10,5.37E-08
2600,1.16E-03,2.56E-03,2.82E-04,2.65E-05,4.36E-10,1.14E-03,5.04E-05,2.79E-04,8.73E-05,5.24E-09,1.10E-07,2.76E-11,8.31E-12,9.38E-12,2.29E-08,6.46E-09,9.21E-03,1.84E-07,5.41E-05,1.62E-08,1.06E-05,3.43E-06,1.69E-14,2.13E-08,7.84E-12,1.34E-07,4.54E-14,1.81E-09,8.82E-08
2650,1.69E-03,3.47E-03,4.40E-04,4.52E-05,1.01E-09,1.89E-03,8.22E-05,4.08E-04,1.26E-04,1.07E-08,2.07E-07,5.84E-11,1.99E-11,2.12E-11,3.90E-08,1.16E-08,1.18E-02,2.83E-07,7.92E-05,2.54E-08,1.51E-05,4.65E-06,2.96E-14,3.31E-08,1.00E-11,1.89E-07,1.07E-13,3.51E-09,1.42E-07
2700,2.43E-03,4.68E-03,6.74E-04,7.57E-05,2.26E-09,3.07E-03,1.32E-04,5.87E-04,1.80E-04,2.11E-08,3.80E-07,1.21E-10,4.60E-11,4.62E-11,6.50E-08,2.03E-08,1.50E-02,4.25E-07,1.14E-04,3.93E-08,2.13E-05,6.22E-06,5.06E-14,5.06E-08,1.27E-11,2.63E-07,2.43E-13,6.61E-09,2.25E-07
2750,3.47E-03,6.31E-03,1.01E-03,1.24E-04,4.87E-09,4.88E-03,2.08E-04,8.29E-04,2.54E-04,4.04E-08,6.83E-07,2.43E-10,1.02E-10,9.74E-11,1.06E-07,3.49E-08,1.88E-02,6.26E-07,1.63E-04,5.98E-08,2.96E-05,8.21E-06,8.43E-14,7.64E-08,1.59E-11,3.61E-07,5.30E-13,1.21E-08,3.51E-07
2800,4.90E-03,8.47E-03,1.49E-03,2.00E-04,1.01E-08,7.60E-03,3.23E-04,1.15E-03,3.53E-04,7.50E-08,1.20E-06,4.79E-10,2.18E-10,1.99E-10,1.68E-07,5.88E-08,2.34E-02,9.05E-07,2.30E-04,8.94E-08,4.06E-05,1.07E-05,1.37E-13,1.14E-07,1.97E-11,4.90E-07,1.12E-12,2.16E-08,5.39E-07
2850,6.87E-03,1.14E-02,2.15E-03,3.17E-04,2.03E-08,1.16E-02,4.93E-04,1.57E-03,4.86E-04,1.36E-07,2.06E-06,9.22E-10,4.50E-10,3.96E-10,2.63E-07,9.72E-08,2.87E-02,1.29E-06,3.22E-04,1.32E-07,5.50E-05,1.38E-05,2.19E-13,1.67E-07,2.43E-11,6.56E-07,2.27E-12,3.77E-08,8.14E-07
