species,pref [Pa],Tref [K]
O,5.838206011783334e11,59567.361552601375
O2,3.928636437512747e11,57974.990732242164
Mg,1.928608434939814e11,56492.70993377182
MgO,2.471067186884902e13,76746.58071647887
SiO,8.166488871200286e11,58759.07408916157
SiO2,1.8174068775336047e11,64447.46670139672
