species,pref [Pa],Tref [K]
O,1.8678319067922585e10,49126.295426040546
O2,4.0233751498314905e8,37094.11891347976
Mg,2.9187029898052686e12,65853.14435237371
MgO,1.1948621476895502e13,75664.69357224465
SiO,8.079468737172656e13,71024.42973307281
SiO2,5.737785177153918e11,66266.27018906148
Fe,5.760940991444609e10,55716.11189824817
FeO,4.005908394945403e9,51805.205103292334
Na,1.1211933140901852e9,36432.15468137442
NaO,2.6377195779046965e9,52011.97436417771
